goodsId,name,publisher,price,detailUrl,gameOs,cid,pid,systemCid,sceneId,totalFiveStarGenerals,sTactics,seasonStartDays,experiencedSeasons,specialOrangeEquipment,recruitmentCurrent,recruitmentTarget,transferStatus,wantedCount,publishedAgo,detailScrapeStatus,detailError,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
商品ID,商品标题,卖家,价格,商品链接,游戏系统,类目ID,父类目ID,系统类目ID,场景ID,橙色武将数量,S战法数量,赛季开始时间,经历赛季,特技橙装数量,求贤当前值,求贤目标值,转区状态,想要人数,发布时间,详情采集状态,详情采集错误,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
1779930807899178,马年曹操11服 S22084 赛季开始52天,S22084|马年曹操11服 藏深泉,30,https://www.jiaoyimao.com/jg1009207/1779930807899178.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,45,5,52,1,,249,1800,,,,success,,24,23,4,0,0,0,0,0,0红,0,0,0,0,0,0,0红,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1红,0,0,0,0,0,0,0红,0,0,0,0
1780048972476167,4809服 PK25133 赛季开始24天,PK25133|4809服 雕墙峻宇,29999,https://www.jiaoyimao.com/jg1009207/1780048972476167.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,1050,133,24,28,83,2432,3000,可跨区转服,3,,success,,171,133,59,典藏1红,典藏0红,0,典藏4红,典藏3红,典藏2红,5红,典藏5红,典藏5红,动态1红,典藏5红,典藏5红,动态5红,0,典藏4红,2红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,动态5红,典藏动态5红,4红,典藏5红,典藏5红,动态5红,典藏5红,0红,典藏5红,典藏3红,典藏5红,典藏动态5红,5红,5红,典藏5红,典藏5红,2红,典藏5红
1779961958567608,6226服 S22093 赛季开始31天,S22093|6226服 乐羊子妻,200,https://www.jiaoyimao.com/jg1009207/1779961958567608.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,68,12,31,1,7,363,1800,,1,,success,,38,28,5,0,0,0红,0,0,0,0,0,0,0,0,0,0,0,0红,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0红,0,0,0红,0,0,0,0,0,0红,0,0
1779971969824167,3900服 PK25066 赛季开始52天,PK25066|3900服 气势恢宏,11605,https://www.jiaoyimao.com/jg1009207/1779971969824167.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,663,114,52,27,74,1302,3000,可跨区转服,2,,success,,177,113,43,0,0,典藏0红,1红,0,0,0红,典藏3红,典藏1红,0红,典藏4红,典藏5红,5红,0红,5红,5红,典藏5红,典藏1红,典藏5红,2红,典藏5红,3红,典藏5红,典藏5红,4红,典藏2红,1红,典藏0红,4红,典藏5红,典藏3红,5红,典藏5红,0,动态5红,典藏1红,典藏5红,0红,5红,0红,4红,0,2红,0红
1780495340208845,3969服 PK19275 赛季开始52天,PK19275|3969服 传檄而定,46000,https://www.jiaoyimao.com/jg1009207/1780495340208845.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,863,106,52,16,80,1459,3300,可跨区转服,13,,success,,151,109,60,典藏5红,典藏4红,0,典藏5红,典藏5红,2红,5红,典藏5红,典藏5红,1红,典藏5红,典藏5红,动态3红,1红,典藏3红,0红,典藏2红,典藏5红,5红,5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,动态5红,典藏5红,3红,典藏5红,典藏5红,5红,典藏5红,0红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,4红,典藏0红,典藏1红,5红,典藏5红
1778664335266428,1919服 PK25004 赛季开始59天,PK25004|1919服 波谲云诡,199999,https://www.jiaoyimao.com/jg1009207/1778664335266428.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1876,137,59,21,152,4228,3600,可跨区转服,7,,success,,387,236,86,动态5红,动态5红,典藏5红,典藏5红,动态5红,典藏5红,5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,动态5红,5红,典藏5红,5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,5红,典藏5红,动态5红,典藏5红,典藏动态5红,典藏动态5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,5红,典藏5红,典藏5红,动态5红,典藏5红
1776730349566059,5072服 PK25092 赛季开始45天,PK25092|5072服 荣耀之巅,108888,https://www.jiaoyimao.com/jg1009207/1776730349566059.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,1182,115,45,12,70,2961,3300,可跨区转服,31,,success,,181,128,58,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,典藏5红,5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,动态5红,0,典藏5红,1红,典藏5红,典藏5红,5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,动态4红,典藏5红,典藏5红,典藏5红,典藏5红,0红,典藏5红,典藏5红,典藏5红,5红,动态3红,0,典藏5红,典藏5红,0红,3红
1779940309975294,4956服 PK25129 赛季开始24天,PK25129|4956服 阐幽明微,34567,https://www.jiaoyimao.com/jg1009207/1779940309975294.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,820,118,24,26,100,324,3300,68天后可跨区转服,2,,success,,145,78,44,0红,典藏5红,0,典藏5红,动态4红,典藏1红,5红,典藏5红,典藏4红,动态3红,典藏5红,典藏5红,动态5红,0,典藏5红,0,典藏4红,典藏5红,典藏3红,动态5红,典藏4红,典藏5红,典藏5红,典藏5红,5红,典藏0红,0红,0红,动态5红,典藏动态5红,典藏5红,典藏5红,典藏5红,0,典藏5红,典藏3红,典藏5红,典藏0红,0红,0红,典藏5红,典藏5红,5红,5红
1780108895414219,争霸156服||川渝 PK25199 赛季开始3天,PK25199|争霸156服||川渝,2388,https://www.jiaoyimao.com/jg1009207/1780108895414219.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,609,104,3,27,59,186,3000,61天后可跨区转服,24,,success,,183,125,40,0,0红,0红,典藏0红,0红,0,0红,典藏4红,典藏1红,动态2红,1红,典藏2红,0红,1红,典藏0红,0红,典藏0红,3红,0,0,典藏4红,2红,典藏2红,0红,0红,典藏1红,3红,1红,1红,典藏2红,2红,5红,2红,0,典藏2红,典藏0红,0,动态5红,动态3红,动态3红,0,3红,0红,2红
1780018860896076,1363服 PK25025 赛季开始59天,PK25025|1363服 鸣鼓攻之,18000,https://www.jiaoyimao.com/jg1009207/1780018860896076.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,969,128,59,27,82,1347,3300,111天后可跨区转服,1,,success,,195,122,56,0,0,0,典藏5红,典藏2红,典藏0红,5红,典藏2红,典藏2红,1红,典藏5红,典藏5红,动态5红,0,典藏5红,5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,0,典藏5红,典藏5红,典藏5红,动态5红,5红,1红,典藏5红,典藏5红,5红,典藏5红
1780043297261955,4611服 PK25146 赛季开始24天,PK25146|4611服 戎马倥惚,18000,https://www.jiaoyimao.com/jg1009207/1780043297261955.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,683,97,24,12,52,385,2700,可跨区转服,1,,success,,175,128,45,0,0红,1红,动态5红,1红,0,2红,动态4红,典藏4红,0红,典藏4红,典藏3红,1红,0红,3红,0,典藏1红,0红,0红,0红,典藏1红,1红,典藏2红,典藏0红,1红,典藏1红,0红,典藏3红,1红,典藏1红,0红,5红,3红,5红,1红,2红,2红,3红,3红,5红,典藏3红,4红,1红,典藏5红
1780048310848312,争霸214服||云贵 PK19273 赛季开始59天,PK19273|争霸214服||云贵,388,https://www.jiaoyimao.com/jg1009207/1780048310848312.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,240,50,59,7,42,1623,1800,可跨区转服,2,,success,,165,94,25,0,0,0红,0,0红,0,0红,0红,0,0,0红,0,0,0红,0红,0,0,0,0红,0红,0红,典藏1红,0,1红,0,0红,0红,2红,0,0,0,0,3红,0,0红,0红,1红,0红,0红,0红,1红,3红,1红,0
1779975785475007,5088服 PK25095 赛季开始45天,PK25095|5088服 晏然自若,3000,https://www.jiaoyimao.com/jg1009207/1779975785475007.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,291,63,45,11,39,299,2400,47天后可跨区转服,1,,success,,115,83,29,0,0,0,动态1红,动态2红,1红,0,典藏3红,0红,动态2红,0,1红,0红,0红,典藏1红,0,0,0,0,0,0红,0,0红,典藏0红,0,0红,2红,0红,0,0红,1红,0红,典藏0红,0,0,0红,0红,典藏4红,1红,0红,0红,0红,0,0红
1780049555744905,3087服 PK25085 赛季开始45天,PK25085|3087服 人生如梦,2300,https://www.jiaoyimao.com/jg1009207/1780049555744905.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,500,91,45,17,62,2194,2400,可跨区转服,1,,success,,143,105,38,0,0红,0红,1红,0,0,0,动态2红,动态2红,动态2红,典藏4红,典藏2红,动态1红,0,典藏1红,0,0红,0红,0红,2红,1红,1红,典藏5红,2红,3红,3红,0红,0红,0红,1红,4红,5红,5红,0,0,0红,典藏2红,动态5红,动态1红,0红,典藏0红,0红,2红,2红
1780015988986079,6237服 S22097 赛季开始24天,S22097|6237服 栽者培之,52888,https://www.jiaoyimao.com/jg1009207/1780015988986079.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,914,58,24,1,8,783,2400,,19,,success,,232,184,29,0,0,动态4红,0,0,4红,5红,0,0,动态5红,0,0,5红,1红,5红,3红,5红,0,0,动态5红,0,0,0,0,动态5红,0,0,0,动态5红,0,2红,0,5红,0,5红,3红,0,5红,2红,0红,动态5红,1红,动态2红,0
